ID, Splay Tree Integer Sequence, AVL Tree Integer Sequence, Binary Tree Integer Sequence, Splay Tree Random Sequence, AVL Tree Random Sequence, Binary Tree Random Sequence, Splay Tree Duplicate Integer Sequence, AVL Tree Duplicate Integer Sequence, Binary Tree Duplicate Integer Sequence, Splay Tree Prime Integer Sequence, AVL Tree Prime Integer Sequence, Binary Tree Integer Sequence
0, 1, 3, 0, 11, 14, 11, 1, 3, 0, 2, 8, 2, 
1, 2, 1, 1, 16, 11, 17, 3, 3, 0, 1, 5, 1, 
2, 4, 8, 2, 14, 12, 15, 3, 3, 0, 5, 2, 4, 
3, 2, 5, 1, 21, 13, 18, 2, 3, 0, 2, 2, 2, 
4, 7, 7, 3, 21, 12, 22, 2, 3, 0, 2, 4, 3, 
5, 4, 2, 4, 10, 12, 11, 7, 1, 1, 4, 8, 6, 
6, 5, 3, 3, 22, 14, 20, 2, 1, 1, 5, 8, 7, 
7, 1, 2, 2, 15, 11, 14, 1, 1, 1, 8, 8, 4, 
8, 5, 7, 2, 16, 10, 13, 2, 1, 1, 5, 12, 5, 
9, 9, 13, 3, 15, 13, 17, 2, 1, 1, 8, 2, 5, 
10, 9, 2, 4, 17, 13, 18, 5, 8, 2, 7, 11, 2, 
11, 6, 4, 3, 11, 11, 14, 2, 8, 2, 6, 9, 5, 
12, 8, 0, 5, 14, 12, 15, 3, 8, 2, 10, 6, 6, 
13, 5, 8, 6, 22, 12, 20, 1, 8, 2, 10, 13, 7, 
14, 10, 6, 4, 13, 12, 14, 3, 8, 2, 4, 12, 4, 
15, 8, 4, 6, 15, 13, 12, 8, 5, 1, 6, 5, 6, 
16, 8, 8, 4, 16, 13, 14, 2, 5, 1, 8, 7, 5, 
17, 7, 8, 7, 14, 12, 15, 1, 5, 1, 9, 5, 6, 
18, 8, 3, 3, 13, 12, 15, 2, 5, 1, 15, 5, 8, 
19, 3, 8, 4, 26, 11, 22, 2, 5, 1, 9, 6, 8, 
20, 6, 11, 5, 22, 12, 16, 4, 7, 3, 16, 8, 9, 
21, 9, 7, 4, 15, 12, 18, 3, 7, 3, 7, 11, 9, 
22, 9, 12, 5, 10, 12, 11, 3, 7, 3, 10, 6, 8, 
23, 7, 12, 5, 21, 11, 23, 3, 7, 3, 5, 8, 9, 
24, 10, 8, 8, 8, 10, 6, 3, 7, 3, 11, 8, 9, 
25, 6, 4, 6, 20, 10, 20, 6, 2, 4, 11, 11, 11, 
26, 9, 4, 3, 14, 12, 16, 1, 2, 4, 16, 10, 8, 
27, 8, 7, 4, 15, 13, 7, 4, 2, 4, 8, 7, 6, 
28, 6, 10, 4, 9, 11, 7, 4, 2, 4, 5, 12, 5, 
29, 7, 2, 5, 5, 1, 7, 3, 2, 4, 11, 8, 6, 
30, 5, 8, 6, 12, 13, 13, 10, 3, 3, 10, 12, 7, 
31, 9, 11, 2, 11, 13, 16, 1, 3, 3, 12, 11, 13, 
32, 6, 12, 7, 13, 11, 13, 2, 3, 3, 12, 12, 8, 
33, 12, 12, 8, 9, 13, 14, 3, 3, 3, 9, 11, 13, 
34, 3, 3, 9, 14, 13, 15, 4, 3, 3, 9, 12, 10, 
35, 8, 9, 5, 16, 11, 15, 12, 2, 2, 6, 6, 9, 
36, 13, 6, 4, 16, 11, 15, 1, 2, 2, 4, 4, 5, 
37, 9, 9, 5, 18, 7, 15, 3, 2, 2, 9, 9, 5, 
38, 6, 4, 6, 10, 6, 11, 3, 2, 2, 6, 7, 9, 
39, 18, 5, 5, 17, 9, 14, 4, 2, 2, 12, 8, 11, 
40, 7, 9, 6, 8, 10, 9, 6, 7, 2, 19, 11, 10, 
41, 9, 6, 6, 9, 10, 13, 2, 7, 2, 16, 14, 10, 
42, 13, 4, 7, 11, 12, 16, 3, 7, 2, 7, 11, 9, 
43, 13, 13, 7, 13, 13, 16, 3, 7, 2, 10, 6, 13, 
44, 11, 7, 5, 23, 12, 14, 1, 7, 2, 7, 11, 7, 
